4	14738267
2	207608406
3	32513411
4	225597548
2	168992473
4	184377871
2	59517975
2	142948676
7	208889041
6	125938476
5	224484161
2	151707728
2	29851557
4	183994342
1	43700156
5	43732515
7	217365949
1	150053901
5	72943053
1	218416082
6	213465647
1	141062361
4	49966018
7	17611451
2	5325504
3	86590395
2	144652927
1	23899779
2	213822631
6	13673444
7	145823179
3	162505193
5	155264970
4	114540763
4	36201225
6	163052505
7	83813083
6	119916002
6	127686614
4	239090153
4	127521767
4	55860052
5	65519582
5	139751662
6	38403656
6	229860165
2	57288725
1	144642158
6	52887791
6	133672762
